"location_name","Region","Superregion","2021 Per-capita Expenditure (95% UI, US$)","2050 Base Per-capita Expenditure (95% UI, US$)","Total % change 2021–2050 base scenario (95% UI)","2050 WHO Per-capita Expenditure (95% UI, US$)","Total % change 2021–2050 WHO target (95% UI)","Dental Utilisation Scenario"
"Albania","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.58 (-1.92-3.07)","0.59 (-1.92-3.11)","3% (-100–44176%)","54.94 (10.7-99.19)","9449% (16–784754%)","low"
"Bosnia and Herzegovina","Central Europe","Central Europe, Eastern Europe, and Central Asia","11.07 (-5.38-27.51)","11.58 (-5.68-28.84)","5% (-87–758%)","56.28 (11.13-101.42)","408% (-6–2651%)","mid"
"Bulgaria","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.79 (-2.27-3.86)","0.8 (-2.22-3.81)","0% (-100–22264%)","69.63 (26.48-112.77)","8668% (76–437023%)","low"
"Croatia","Central Europe","Central Europe, Eastern Europe, and Central Asia","20.86 (-7.66-49.38)","22 (-9.66-53.66)","5% (-86–668%)","102.72 (38.46-166.98)","392% (9–2115%)","mid"
"Czechia","Central Europe","Central Europe, Eastern Europe, and Central Asia","22.02 (-6.23-50.27)","21.44 (-5.98-48.86)","-3% (-84–496%)","106.08 (49.56-162.59)","382% (20–1833%)","mid"
"Hungary","Central Europe","Central Europe, Eastern Europe, and Central Asia","13.97 (-3.11-31.06)","13.97 (-3.18-31.13)","0% (-82–466%)","76.19 (35.7-116.68)","445% (44–1968%)","mid"
"Montenegro","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.75 (-2.17-3.67)","0.75 (-2.28-3.78)","0% (-100–27369%)","67.98 (21.75-114.2)","8958% (74–470231%)","low"
"North Macedonia","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.63 (-2.17-3.42)","0.67 (-2.32-3.66)","7% (-100–56939%)","59.23 (13.35-105.11)","9315% (4–855185%)","low"
"Poland","Central Europe","Central Europe, Eastern Europe, and Central Asia","21.21 (-6.82-49.24)","21.48 (-7.25-50.2)","1% (-85–564%)","103.52 (44.17-162.87)","388% (16–1960%)","mid"
"Romania","Central Europe","Central Europe, Eastern Europe, and Central Asia","1 (-2.73-4.72)","1.01 (-2.81-4.82)","1% (-100–20634%)","88.4 (35.27-141.53)","8776% (101–391903%)","low"
"Serbia","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.7 (-2.02-3.42)","0.76 (-2.28-3.8)","8% (-100–28373%)","69.04 (20-118.08)","9756% (91–509440%)","low"
"Slovakia","Central Europe","Central Europe, Eastern Europe, and Central Asia","19.75 (-5.95-45.45)","19.81 (-6.2-45.82)","0% (-84–537%)","97.62 (44.04-151.21)","394% (20–1929%)","mid"
"Slovenia","Central Europe","Central Europe, Eastern Europe, and Central Asia","25.62 (-8.68-59.93)","24.04 (-8.06-56.14)","-6% (-86–522%)","115.6 (51.33-179.87)","351% (6–1823%)","mid"
"Eastern Europe","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","1.53 (-1.28-4.33)","1.48 (-1.31-4.26)","-3% (-93–1242%)","81.72 (41.55-121.89)","5247% (700–35648%)",NA
"Belarus","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","0.87 (-2.52-4.27)","0.85 (-2.46-4.16)","-3% (-100–23867%)","75.9 (25.04-126.75)","8588% (69–446541%)","low"
"Estonia","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","22.88 (-6.35-52.11)","23.33 (-6.04-52.7)","2% (-83–513%)","113.22 (51.01-175.44)","395% (23–1888%)","mid"
"Latvia","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","20.89 (-6.99-48.78)","21.22 (-7.77-50.21)","2% (-85–586%)","102.42 (41.62-163.22)","390% (14–2013%)","mid"
"Lithuania","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","24 (-7.07-55.07)","25.03 (-7.96-58.01)","4% (-84–561%)","119.76 (52.65-186.88)","399% (22–1945%)","mid"
"Republic of Moldova","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","0.49 (-1.95-2.93)","0.51 (-2.04-3.07)","5% (-100–120079%)","49.73 (1.38-98.08)","10064% (-37–1632739%)","low"
"Russian Federation","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","1.03 (-2.84-4.9)","1 (-2.68-4.68)","-3% (-99–18446%)","89.46 (35.9-143.02)","8580% (95–387220%)","low"
"Ukraine","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","0.52 (-1.84-2.87)","0.54 (-2.12-3.19)","4% (-100–85800%)","50.4 (4.5-96.29)","9665% (-6–1017358%)","low"
"High-income",NA,"High-income","118.56 (89.97-147.15)","121.71 (90.97-152.44)","3% (-28–46%)","131.56 (100.71-162.41)","11% (-21–55%)",NA
"Australasia","Australasia","High-income","148.17 (88.05-208.29)","150.92 (89.09-212.74)","2% (-43–81%)","164.92 (102.53-227.3)","11% (-36–94%)",NA
"Australia","Australasia","High-income","172.95 (101.06-244.85)","172.35 (100.23-244.48)","0% (-45–80%)","172.35 (100.23-244.48)","0% (-45–80%)","high"
"New Zealand","Australasia","High-income","24.52 (-6.61-55.64)","24.71 (-7.07-56.49)","1% (-83–514%)","121.13 (55.41-186.84)","394% (24–1865%)","mid"
"High-income Asia Pacific","High-income Asia Pacific","High-income","57.63 (37.78-77.48)","56.58 (37.9-75.26)","-2% (-39–58%)","65.87 (46.77-84.98)","14% (-27–79%)",NA
"Brunei Darussalam","High-income Asia Pacific","High-income","1.92 (-5.08-8.93)","2.12 (-5.19-9.43)","10% (-99–16478%)","181.98 (100.46-263.51)","9354% (142–368866%)","low"
"Japan","High-income Asia Pacific","High-income","65.52 (37.96-93.08)","64.61 (37.76-91.46)","-1% (-45–78%)","64.61 (37.76-91.46)","-1% (-45–78%)","high"
"Republic of Korea","High-income Asia Pacific","High-income","40.17 (20.04-60.3)","42.5 (20.07-64.93)","6% (-49–119%)","42.5 (20.07-64.93)","6% (-49–119%)","high"
"Singapore","High-income Asia Pacific","High-income","43.47 (-8.26-95.2)","44.64 (-9.62-98.89)","3% (-81–463%)","223.04 (124.57-321.52)","413% (44–1725%)","mid"
"High-income North America","High-income North America","High-income","191.99 (111.5-272.49)","192.52 (110.37-274.67)","0% (-45–82%)","192.55 (110.4-274.7)","0% (-45–82%)",NA
"Canada","High-income North America","High-income","139.61 (66.8-212.43)","138.75 (66.62-210.88)","-1% (-52–108%)","138.75 (66.62-210.88)","-1% (-52–108%)","high"
"Greenland","High-income North America","High-income","2.4 (-5.83-10.64)","2.5 (-5.82-10.82)","4% (-99–12271%)","204.09 (112.61-295.57)","8396% (168–269694%)","low"
"United States of America","High-income North America","High-income","197.92 (108.72-287.12)","199 (107.4-290.61)","1% (-47–91%)","199 (107.4-290.61)","1% (-47–91%)","high"
"Southern Latin America","Southern Latin America","High-income","10.7 (-1.97-23.36)","12.43 (-3.89-28.74)","16% (-80–581%)","92.23 (52.54-131.91)","762% (145–2940%)",NA
"Argentina","Southern Latin America","High-income","13.89 (-4.73-32.52)","15.98 (-7.38-39.34)","15% (-84–736%)","76.54 (23.49-129.59)","451% (22–2392%)","mid"
"Chile","Southern Latin America","High-income","1.46 (-3.52-6.45)","1.58 (-4-7.17)","8% (-99–14555%)","133.11 (77.1-189.13)","9007% (193–283082%)","low"
"Uruguay","Southern Latin America","High-income","18.95 (-8.2-46.1)","20.38 (-9.78-50.54)","8% (-86–744%)","96.62 (29.44-163.81)","410% (4–2407%)","mid"
"Western Europe","Western Europe","High-income","96.82 (78.02-115.63)","97.04 (78.77-115.31)","0% (-24–31%)","103.48 (85.13-121.83)","7% (-18–39%)",NA
"Andorra","Western Europe","High-income","116.88 (55.2-178.56)","113.54 (52.05-175.04)","-3% (-54–107%)","113.54 (52.05-175.04)","-3% (-54–107%)","high"
"Austria","Western Europe","High-income","113.13 (55.93-170.33)","111.29 (54.6-167.98)","-2% (-52–102%)","111.29 (54.6-167.98)","-2% (-52–102%)","high"
"Belgium","Western Europe","High-income","123.48 (54.44-192.51)","121.19 (54.84-187.54)","-2% (-55–115%)","121.19 (54.84-187.54)","-2% (-55–115%)","high"
"Cyprus","Western Europe","High-income","1.14 (-2.91-5.18)","1.16 (-2.9-5.22)","2% (-99–14981%)","101.43 (47.81-155.05)","8829% (144–326689%)","low"
"Denmark","Western Europe","High-income","152.64 (62.13-243.15)","149.57 (61.71-237.42)","-2% (-57–126%)","149.57 (61.71-237.42)","-2% (-57–126%)","high"
"Finland","Western Europe","High-income","28.56 (-9-66.11)","28.6 (-9.19-66.39)","0% (-84–546%)","137.32 (65.62-209.01)","381% (17–1880%)","mid"
"France","Western Europe","High-income","87.2 (48.36-126.03)","86.44 (48.17-124.71)","-1% (-47–86%)","86.44 (48.17-124.71)","-1% (-47–86%)","high"
"Germany","Western Europe","High-income","158.03 (86.24-229.82)","155.52 (84.84-226.21)","-2% (-48–87%)","155.52 (84.84-226.21)","-2% (-48–87%)","high"
"Greece","Western Europe","High-income","16.88 (-5.22-38.97)","16.62 (-5.54-38.77)","-2% (-85–538%)","83.2 (33.76-132.64)","393% (17–1976%)","mid"
"Iceland","Western Europe","High-income","113.36 (55.91-170.81)","112.8 (55.06-170.54)","0% (-52–104%)","112.8 (55.06-170.54)","0% (-52–104%)","high"
"Ireland","Western Europe","High-income","32.01 (-4.91-68.94)","32.47 (-4.68-69.61)","1% (-80–415%)","176.63 (97.39-255.87)","452% (60–1802%)","mid"
"Israel","Western Europe","High-income","94.91 (44.63-145.19)","94.76 (44.6-144.91)","0% (-53–111%)","94.76 (44.6-144.91)","0% (-53–111%)","high"
"Italy","Western Europe","High-income","74.02 (21.13-126.92)","72.83 (20.79-124.86)","-2% (-64–170%)","72.83 (20.79-124.86)","-2% (-64–170%)","high"
"Luxembourg","Western Europe","High-income","195.22 (101.28-289.16)","191.39 (101.05-281.72)","-2% (-50–92%)","191.39 (101.05-281.72)","-2% (-50–92%)","high"
"Malta","Western Europe","High-income","23.83 (-5.44-53.1)","23.18 (-5.05-51.42)","-3% (-83–449%)","117.95 (59.39-176.51)","395% (32–1762%)","mid"
"Monaco","Western Europe","High-income","5.84 (-14.94-26.62)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","low"
"Netherlands","Western Europe","High-income","117.49 (58.43-176.54)","116.35 (59.51-173.18)","-1% (-51–100%)","116.35 (59.51-173.18)","-1% (-51–100%)","high"
"Norway","Western Europe","High-income","171.77 (81.55-261.99)","169.89 (80.34-259.44)","-1% (-53–108%)","169.89 (80.34-259.44)","-1% (-53–108%)","high"
"Portugal","Western Europe","High-income","18.18 (-4.82-41.17)","18.01 (-5.06-41.08)","-1% (-84–499%)","90.39 (39.72-141.05)","397% (25–1884%)","mid"
"San Marino","Western Europe","High-income","131.48 (63.75-199.2)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","high"
"Spain","Western Europe","High-income","54.35 (29.65-79.06)","53.25 (29.41-77.09)","-2% (-48–85%)","53.25 (29.41-77.09)","-2% (-48–85%)","high"
"Sweden","Western Europe","High-income","238.06 (136.13-339.99)","237.13 (138.68-335.57)","0% (-45–81%)","237.13 (138.68-335.57)","0% (-45–81%)","high"
"Switzerland","Western Europe","High-income","172.93 (95.52-250.35)","170.79 (95.91-245.68)","-1% (-47–85%)","170.79 (95.91-245.68)","-1% (-47–85%)","high"
"United Kingdom","Western Europe","High-income","59.77 (19.11-100.42)","60.66 (18.73-102.6)","1% (-62–168%)","60.66 (18.73-102.6)","1% (-62–168%)","high"
"Latin America and Caribbean",NA,"Latin America and Caribbean","5.45 (0.88-10.01)","5.05 (1.07-9.04)","-7% (-71–193%)","61.14 (44.32-77.96)","1022% (365–2609%)",NA
"Andean Latin America","Andean Latin America","Latin America and Caribbean","0.49 (-0.96-1.94)","0.51 (-0.98-2)","3% (-98–6517%)","47.37 (20.76-73.97)","9522% (380–192955%)",NA
"Bolivia (Plurinational State of)","Andean Latin America","Latin America and Caribbean","0.35 (-1.56-2.26)","0.38 (-1.89-2.65)","9% (-100–356979%)","36.46 (-2.83-75.75)","10347% (-61–2775981%)","low"
"Ecuador","Andean Latin America","Latin America and Caribbean","0.51 (-2.3-3.31)","0.52 (-1.94-2.99)","3% (-100–151803%)","47.86 (3.48-92.24)","9372% (-66–2657665%)","low"
"Peru","Andean Latin America","Latin America and Caribbean","0.53 (-1.62-2.69)","0.55 (-1.79-2.89)","3% (-100–36487%)","51.3 (9.58-93.02)","9536% (55–598914%)","low"
"Caribbean","Caribbean","Latin America and Caribbean","4.79 (-0.09-9.67)","4.45 (0.22-8.68)","-7% (-77–274%)","54.44 (32.51-76.37)","1036% (280–3297%)",NA
"Antigua and Barbuda","Caribbean","Latin America and Caribbean","18.04 (-7.44-43.52)","19.78 (-9.29-48.85)","10% (-86–742%)","93.32 (28.49-158.15)","417% (7–2396%)","mid"
"Bahamas","Caribbean","Latin America and Caribbean","21.97 (-7.48-51.43)","24.58 (-10.13-59.29)","12% (-84–684%)","114.51 (44.52-184.5)","421% (19–2174%)","mid"
"Barbados","Caribbean","Latin America and Caribbean","14.12 (-8.34-36.59)","14.99 (-9.01-38.98)","6% (-89–914%)","70.56 (10.9-130.22)","400% (-18–2927%)","mid"
"Belize","Caribbean","Latin America and Caribbean","8.39 (-5.53-22.31)","9.91 (-7.05-26.86)","18% (-89–1181%)","48.68 (0.36-97.01)","480% (-16–3912%)","mid"
"Bermuda","Caribbean","Latin America and Caribbean","2.7 (-7.22-12.61)","2.61 (-6.6-11.82)","-3% (-99–15738%)","220.51 (108.74-332.28)","8075% (100–334403%)","low"
"Cuba","Caribbean","Latin America and Caribbean","10.4 (-8.31-29.12)","10.59 (-8.81-29.99)","2% (-92–1226%)","50.1 (-2.51-102.71)","382% (-40–3766%)","mid"
"Dominica","Caribbean","Latin America and Caribbean","10.21 (-6.45-26.88)","11.77 (-8.07-31.61)","15% (-89–1104%)","56.45 (0.92-111.98)","453% (-18–3617%)","mid"
"Dominican Republic","Caribbean","Latin America and Caribbean","0.79 (-2.25-3.82)","0.83 (-2.39-4.04)","5% (-100–25168%)","74.72 (21.45-127.99)","9405% (87–483974%)","low"
"Grenada","Caribbean","Latin America and Caribbean","12.4 (-6.05-30.84)","13.98 (-8.18-36.15)","13% (-87–891%)","66.82 (8.7-124.95)","439% (-4–2920%)","mid"
"Guyana","Caribbean","Latin America and Caribbean","0.87 (-2.66-4.39)","0.94 (-2.64-4.52)","8% (-100–28180%)","81.94 (28.74-135.14)","9339% (54–577542%)","low"
"Haiti","Caribbean","Latin America and Caribbean","0.17 (-1.29-1.62)","0.18 (-1.25-1.6)","6% (-100–15621507%)","19.68 (-17.26-56.62)","11755% (-98–91106096%)","low"
"Jamaica","Caribbean","Latin America and Caribbean","8.89 (-6.1-23.88)","11 (-8.94-30.93)","24% (-90–1372%)","51.95 (-2.9-106.8)","484% (-20–4175%)","mid"
"Puerto Rico","Caribbean","Latin America and Caribbean","1.41 (-3.78-6.61)","1.44 (-4.32-7.2)","2% (-100–23346%)","128.82 (48.57-209.08)","9020% (119–380511%)","low"
"Saint Kitts and Nevis","Caribbean","Latin America and Caribbean","20.31 (-8.25-48.87)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","mid"
"Saint Lucia","Caribbean","Latin America and Caribbean","12.37 (-7.68-32.43)","13.4 (-8.78-35.57)","8% (-89–998%)","63.55 (6.17-120.93)","414% (-20–3184%)","mid"
"Saint Vincent and the Grenadines","Caribbean","Latin America and Caribbean","12.23 (-6.72-31.17)","13.44 (-7.8-34.69)","10% (-88–906%)","64.61 (8.72-120.5)","429% (-10–3018%)","mid"
"Suriname","Caribbean","Latin America and Caribbean","11.76 (-6.53-30.04)","12.41 (-6.88-31.7)","6% (-88–851%)","60.41 (8.53-112.3)","414% (-13–2937%)","mid"
"Trinidad and Tobago","Caribbean","Latin America and Caribbean","21.25 (-7.99-50.48)","22.74 (-10.1-55.59)","7% (-85–687%)","106.2 (35.58-176.82)","400% (8–2204%)","mid"
"United States Virgin Islands","Caribbean","Latin America and Caribbean","1.46 (-4.05-6.96)","1.43 (-4.08-6.94)","-2% (-100–21649%)","124.03 (48.53-199.52)","8422% (85–392631%)","low"
"Central Latin America","Central Latin America","Latin America and Caribbean","2.28 (-0.14-4.7)","2.63 (-0.2-5.46)","16% (-75–424%)","64.61 (33.4-95.83)","2739% (783–9030%)",NA
"Colombia","Central Latin America","Latin America and Caribbean","0.7 (-2.21-3.6)","0.77 (-2.71-4.25)","11% (-100–50901%)","69.91 (12-127.83)","9932% (43–703457%)","low"
"Costa Rica","Central Latin America","Latin America and Caribbean","14.93 (-6.71-36.58)","16.76 (-9.32-42.84)","12% (-87–841%)","79.55 (18.36-140.73)","433% (3–2648%)","mid"
"El Salvador","Central Latin America","Latin America and Caribbean","0.44 (-1.73-2.61)","0.5 (-2.09-3.09)","14% (-100–143577%)","48.49 (0.08-96.9)","10923% (-27–1673098%)","low"
"Guatemala","Central Latin America","Latin America and Caribbean","7.66 (-4.69-20.02)","9.41 (-7.25-26.07)","23% (-89–1246%)","45.07 (-0.83-90.97)","488% (-13–3861%)","mid"
"Honduras","Central Latin America","Latin America and Caribbean","0.3 (-2.1-2.7)","0.34 (-1.75-2.42)","14% (-100–3078602%)","33.84 (-9.49-77.18)","11340% (-97–42156844%)","low"
"Mexico","Central Latin America","Latin America and Caribbean","0.8 (-2.42-4.01)","0.83 (-2.65-4.31)","5% (-100–34560%)","76.4 (20.12-132.68)","9477% (59–577235%)","low"
"Nicaragua","Central Latin America","Latin America and Caribbean","0.31 (-1.54-2.16)","0.38 (-1.97-2.73)","22% (-100–662609%)","36.87 (-9.7-83.45)","11759% (-73–5193648%)","low"
"Panama","Central Latin America","Latin America and Caribbean","17.7 (-6.32-41.72)","19.2 (-7-45.41)","8% (-84–643%)","92.64 (33.63-151.66)","423% (17–2243%)","mid"
"Venezuela (Bolivarian Republic of)","Central Latin America","Latin America and Caribbean","6.12 (-6.99-19.22)","6.33 (-7.56-20.23)","4% (-95–2122%)","30.36 (-15.6-76.31)","396% (-64–6738%)","mid"
"Tropical Latin America","Tropical Latin America","Latin America and Caribbean","10.55 (-0.98-22.08)","10.14 (-0.8-21.08)","-4% (-79–346%)","62.81 (40.37-85.26)","495% (89–1779%)",NA
"Brazil","Tropical Latin America","Latin America and Caribbean","10.88 (-1.03-22.78)","10.51 (-0.86-21.89)","-3% (-79–350%)","63.09 (39.83-86.34)","480% (83–1740%)","mid"
"Paraguay","Tropical Latin America","Latin America and Caribbean","0.53 (-1.85-2.91)","0.6 (-2.04-3.25)","14% (-100–62188%)","55.87 (8.63-103.11)","10496% (7–1049286%)","low"
"North Africa and Middle East",NA,"North Africa and Middle East","4.87 (1.59-8.16)","4.36 (1.24-7.48)","-11% (-67–139%)","59.97 (45.66-74.28)","1131% (502–2417%)",NA
"North Africa and Middle East","North Africa and Middle East","North Africa and Middle East","4.87 (1.59-8.16)","4.36 (1.24-7.48)","-11% (-67–139%)","59.97 (45.66-74.28)","1131% (502–2417%)",NA
"Afghanistan","North Africa and Middle East","North Africa and Middle East","0.09 (-1.27-1.46)","0.1 (-0.75-0.94)","7% (-100–3360762346%)","11.69 (-19.24-42.61)","12683% (-100–49232627996%)","low"
"Algeria","North Africa and Middle East","North Africa and Middle East","0.59 (-1.86-3.03)","0.63 (-2.3-3.57)","8% (-100–54278%)","56.92 (11.6-102.24)","9603% (40–673130%)","low"
"Bahrain","North Africa and Middle East","North Africa and Middle East","27.98 (-7.39-63.35)","30.63 (-8.9-70.16)","9% (-82–567%)","149.63 (73.76-225.5)","435% (37–1988%)","mid"
"Egypt","North Africa and Middle East","North Africa and Middle East","0.55 (-1.97-3.06)","0.55 (-1.85-2.95)","0% (-100–56428%)","50.6 (8.58-92.62)","9130% (-13–974173%)","low"
"Iran (Islamic Republic of)","North Africa and Middle East","North Africa and Middle East","13.57 (-4.66-31.79)","15.56 (-7.27-38.38)","15% (-84–738%)","75.2 (19.34-131.06)","454% (19–2473%)","mid"
"Iraq","North Africa and Middle East","North Africa and Middle East","0.54 (-1.99-3.07)","0.6 (-2.28-3.47)","10% (-100–91457%)","53.78 (9.62-97.94)","9845% (-15–1156769%)","low"
"Jordan","North Africa and Middle East","North Africa and Middle East","0.46 (-1.78-2.7)","0.5 (-1.87-2.86)","8% (-100–100225%)","45.95 (3.94-87.97)","9923% (-31–1448987%)","low"
"Kuwait","North Africa and Middle East","North Africa and Middle East","33.59 (-7.77-74.95)","36.3 (-11.88-84.48)","8% (-82–561%)","171.8 (80.54-263.05)","411% (34–1855%)","mid"
"Lebanon","North Africa and Middle East","North Africa and Middle East","9 (-5.79-23.78)","10.39 (-7.37-28.14)","15% (-89–1137%)","50.61 (1.41-99.8)","463% (-17–3697%)","mid"
"Libya","North Africa and Middle East","North Africa and Middle East","0.69 (-2.08-3.46)","0.79 (-2.54-4.12)","15% (-100–39103%)","71.35 (18.07-124.63)","10300% (72–630427%)","low"
"Morocco","North Africa and Middle East","North Africa and Middle East","0.47 (-1.82-2.77)","0.53 (-2.15-3.2)","11% (-100–124390%)","50.15 (-0.54-100.84)","10493% (-25–1504057%)","low"
"Oman","North Africa and Middle East","North Africa and Middle East","1.33 (-3.52-6.17)","1.47 (-3.89-6.82)","11% (-99–19352%)","125.48 (59.35-191.6)","9368% (135–381271%)","low"
"Palestine","North Africa and Middle East","North Africa and Middle East","0.26 (-1.71-2.23)","0.31 (-1.74-2.35)","16% (-100–2603240%)","28.62 (-8.57-65.81)","10751% (-94–21255048%)","low"
"Qatar","North Africa and Middle East","North Africa and Middle East","3.69 (-9.28-16.66)","3.91 (-9.54-17.36)","6% (-99–14405%)","326 (176.33-475.67)","8736% (155–306303%)","low"
"Saudi Arabia","North Africa and Middle East","North Africa and Middle East","24.19 (-4.47-52.85)","28.16 (-5.81-62.14)","16% (-79–532%)","141.32 (72.92-209.73)","484% (62–2001%)","mid"
"Sudan","North Africa and Middle East","North Africa and Middle East","0.19 (-1.43-1.81)","0.22 (-1.53-1.98)","20% (-100–14094210%)","21.95 (-13.6-57.51)","11627% (-98–77902281%)","low"
"Syrian Arab Republic","North Africa and Middle East","North Africa and Middle East","0.22 (-1.85-2.29)","0.25 (-1.64-2.14)","14% (-100–19192116%)","24.96 (-13.24-63.16)","11239% (-99–153420710%)","low"
"Tunisia","North Africa and Middle East","North Africa and Middle East","0.52 (-1.7-2.74)","0.58 (-2.26-3.42)","11% (-100–75801%)","53.75 (4.7-102.81)","10269% (31–822304%)","low"
"Türkiye","North Africa and Middle East","North Africa and Middle East","1.08 (-2.88-5.03)","1.11 (-3.06-5.29)","4% (-99–19651%)","98.34 (38.06-158.62)","9041% (120–379505%)","low"
"United Arab Emirates","North Africa and Middle East","North Africa and Middle East","46.35 (-12.73-105.43)","43.58 (-12.3-99.47)","-6% (-85–473%)","204.88 (105.92-303.83)","342% (13–1628%)","mid"
"Yemen","North Africa and Middle East","North Africa and Middle East","0.13 (-1.52-1.79)","0.14 (-0.88-1.15)","2% (-100–177804771%)","16.82 (-17.63-51.26)","12417% (-100–3226639520%)","low"
"South Asia",NA,"South Asia","0.47 (-1.75-2.7)","0.53 (-1.77-2.83)","12% (-100–67859%)","51.93 (4.93-98.93)","10898% (-10–1339053%)",NA
"South Asia","South Asia","South Asia","0.47 (-1.75-2.7)","0.53 (-1.77-2.83)","12% (-100–67859%)","51.93 (4.93-98.93)","10898% (-10–1339053%)",NA
"Bangladesh","South Asia","South Asia","0.39 (-1.7-2.49)","0.51 (-2.6-3.62)","29% (-100–430809%)","50.86 (-16.63-118.34)","12833% (-47–3143267%)","low"
"Bhutan","South Asia","South Asia","0.63 (-2.29-3.56)","0.74 (-2.93-4.41)","16% (-100–103223%)","71.79 (0.14-143.45)","11210% (1–1270821%)","low"
"India","South Asia","South Asia","0.5 (-2.37-3.36)","0.55 (-2.41-3.51)","10% (-100–302369%)","53.08 (-7.34-113.49)","10604% (-70–3839260%)","low"
"Nepal","South Asia","South Asia","0.24 (-2.07-2.56)","0.29 (-1.89-2.48)","21% (-100–22081780%)","30.94 (-17.03-78.9)","12670% (-99–204405895%)","low"
"Pakistan","South Asia","South Asia","0.41 (-2.24-3.07)","0.49 (-2.54-3.52)","18% (-100–878282%)","48.76 (-13.66-111.18)","11665% (-83–8157643%)","low"
"Southeast Asia, East Asia, and Oceania",NA,"Southeast Asia, East Asia, and Oceania","13.26 (7.24-19.28)","12.39 (6.41-18.38)","-7% (-52–81%)","31.16 (20.86-41.45)","135% (34–312%)",NA
"East Asia","East Asia","Southeast Asia, East Asia, and Oceania","19.39 (10.49-28.3)","19.62 (10-29.24)","1% (-48–98%)","19.9 (10.26-29.54)","3% (-47–100%)",NA
