Country,Severity,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
France,Stage_I_II,0.0470311376015975,0.11031629657779413,NA,NA,NA,NA
Germany,Health,0.05737443427049328,0.1462482489344763,NA,NA,NA,NA
Germany,Stage_III_IVT1_2,0.10539623552430112,0.23417412366253249,0.08187556498972179,0.2004286313551506,0.0071985080566385595,0.023397720319312008
Germany,Stage_IVT3,0.01991483855367657,0.059618657156319005,0.01012423257868681,0.03599625291942407,0.005264349358109894,0.02093299799142508
Germany,Stage_IVT4,0.020147665003344868,0.060473217239763066,0.008848081132704506,0.028181724526924797,0.0068720198126761755,0.02669688689482404
Germany,Stage_I_II,0.10059851429962902,0.23718198242358726,NA,NA,NA,NA
Italy,Health,0.022453461093579215,0.0655115078708984,NA,NA,NA,NA
Italy,Stage_III_IVT1_2,0.028703245675026617,0.07267156474363408,0.012289825127490451,0.0323696838175358,0.004612620303578684,0.015077290907417206
Italy,Stage_IVT3,0.00903133095383457,0.03201368671443222,0.0014970963590510255,0.006486263826409941,0.003198189281868344,0.014019856402767946
Italy,Stage_IVT4,0.009852149527191972,0.03688360274902031,0.0014646431335056445,0.004968563878656578,0.0036727527215793957,0.016257015659520778
Italy,Stage_I_II,0.03250089253052911,0.08194967315159897,NA,NA,NA,NA
Japan,Health,0.04496533109747155,0.114186334190919,NA,NA,NA,NA
Japan,Stage_III_IVT1_2,0.04767089240608859,0.103144564540177,0.0308879336563885,0.07658990299125952,0.004007462138486155,0.013071257165627632
Japan,Stage_IVT3,0.009774276588598687,0.030410411109892836,0.0038064975642347868,0.014479218061395453,0.0023450457535633207,0.009170693252871787
Japan,Stage_IVT4,0.010037281401367308,0.03217256664179742,0.0034264335822891336,0.010984537907450876,0.0027393782759127963,0.010956569302336175
Japan,Stage_I_II,0.06887851582512099,0.15054762392577303,NA,NA,NA,NA
"Korea, Rep.",Health,0.011561533101265543,0.03252302930093237,NA,NA,NA,NA
"Korea, Rep.",Stage_III_IVT1_2,0.015952701585263903,0.03560002578512045,0.012331478158189201,0.031178680963587124,0.0017493298430059346,0.005695193487398359
"Korea, Rep.",Stage_IVT3,0.003071358782398247,0.009022336694318579,0.0014472250776923325,0.0052956592647176925,0.0012195457540644522,0.004716768909226502
"Korea, Rep.",Stage_IVT4,0.004300373116390445,0.013805719365734204,0.0013482609529136375,0.004256954418864023,0.002519949560551858,0.010043183418651286
"Korea, Rep.",Stage_I_II,0.014508438145795381,0.03424724282343813,NA,NA,NA,NA
Rwanda,Health,3.1828052189833466e-4,9.370644909368361e-4,NA,NA,NA,NA
Rwanda,Stage_III_IVT1_2,2.377617246714477e-4,6.734368715832106e-4,1.246299742076399e-4,4.0277427867008403e-4,3.431609279745358e-5,1.2562924039065897e-4
Rwanda,Stage_IVT3,6.485285152533269e-5,2.34952758080271e-4,1.4593609946451715e-5,5.965866616452711e-5,2.1775722156708104e-5,8.951585816582097e-5
Rwanda,Stage_IVT4,7.445859178201392e-5,3.161165202325481e-4,1.2124305042471879e-5,4.501946610482137e-5,3.0304602274589182e-5,1.6729161602102563e-4
Rwanda,Stage_I_II,5.726985543269403e-4,0.001578650159771839,NA,NA,NA,NA
Spain,Health,0.011548950358137001,0.02890701485176002,NA,NA,NA,NA
Spain,Stage_III_IVT1_2,0.006020348091019989,0.013594093839509236,0.003916322760081622,0.009759108453130693,6.429753261098051e-4,0.002092224730787148
Spain,Stage_IVT3,0.0013482046051795584,0.004467614187677501,4.633976809134436e-4,0.0017974941352681328,3.9855340663938276e-4,0.0015910030770980854
Spain,Stage_IVT4,0.0016032149643346737,0.005753040085385534,4.364173551376519e-4,0.001332292278646084,6.385221773631661e-4,0.0026711875021199413
Spain,Stage_I_II,0.022135382467403382,0.05256048763379428,NA,NA,NA,NA
Sweden,Health,0.01139015631711959,0.02817789011800262,NA,NA,NA,NA
Sweden,Stage_III_IVT1_2,0.015919021595203423,0.037562177710394315,0.008061330821500805,0.018315490340104757,0.001361159559154047,0.0043463558811875
Sweden,Stage_IVT3,0.00399779657249711,0.013020956793659952,9.742786551274692e-4,0.003250471673977823,8.819161713285582e-4,0.0034263967079641894
Sweden,Stage_IVT4,0.004372257504998931,0.01627624062955535,9.126738152942696e-4,0.0026578500610473363,0.0010647018777315534,0.004264091147316953
Sweden,Stage_I_II,0.01919516269436897,0.042381630293742416,NA,NA,NA,NA
Switzerland,Health,0.0050989120816668345,0.012124870257873212,NA,NA,NA,NA
Switzerland,Stage_III_IVT1_2,0.01235689465781868,0.027693332106913247,0.007870144500139474,0.01727885961186066,6.618212034896118e-4,0.002128031757577012
Switzerland,Stage_IVT3,0.002305612518807225,0.007404677063353311,9.595955551290887e-4,0.0030708590281901056,3.5584905773246506e-4,0.001457154919405852
Switzerland,Stage_IVT4,0.002656775263460014,0.009405808982515857,9.063398075146587e-4,0.002657440297862958,6.894587447294973e-4,0.002928791268080492
Switzerland,Stage_I_II,0.0094116449833466,0.021483818875683694,NA,NA,NA,NA
Taiwan,Health,0.004220094925425429,0.0101069803571461,NA,NA,NA,NA
Taiwan,Stage_III_IVT1_2,0.02419886487804564,0.059469273004885886,0.01976617809984676,0.05671218013771269,0.0010573252029163027,0.0034272222829962876
Taiwan,Stage_IVT3,0.004074303398534572,0.012473061321852484,0.002460504260604371,0.010188175128043845,6.706283156395206e-4,0.00270192628827073
Taiwan,Stage_IVT4,0.005690389788222772,0.01747354570517506,0.0022272808650300635,0.007693927376572661,0.0024702830940996007,0.010637380472833313
Taiwan,Stage_I_II,0.007722540964530401,0.017236348800528004,NA,NA,NA,NA
Tanzania,Health,0.008633754633299141,0.02883570873981809,NA,NA,NA,NA
Tanzania,Stage_III_IVT1_2,0.00347994517842314,0.009844487360386728,0.0027206297096334137,0.008946488278103619,3.037743838957602e-4,0.001157803589248285
Tanzania,Stage_IVT3,6.09512498645351e-4,0.0020038940411728256,2.7539057069392856e-4,0.001232802765439988,1.491710603124065e-4,6.1885624870733e-4
Tanzania,Stage_IVT4,7.41319364802853e-4,0.0026475330313355814,2.8419450328484515e-4,0.0011413133115165106,2.3076881076390887e-4,0.0010308369598137784
Tanzania,Stage_I_II,0.014523703390657844,0.04213548423371025,NA,NA,NA,NA
United Kingdom,Health,0.010195994383384217,0.039312550432660014,NA,NA,NA,NA
United Kingdom,Stage_III_IVT1_2,0.010684109785579694,0.032466979737691776,0.008186971162334087,0.029278823374522187,0.002673944772308795,0.009047943304803565
United Kingdom,Stage_IVT3,0.002256532275320905,0.01038141994686335,9.54623973765687e-4,0.00542212831849678,0.0014602962595026802,0.005846456973424207
United Kingdom,Stage_IVT4,0.0036859571427612457,0.01596244644435555,0.001066472571144552,0.003605275563080927,0.002775841629363316,0.012457565827315078
United Kingdom,Stage_I_II,0.02773842260687897,0.09158858418190141,NA,NA,NA,NA
United States,Health,0.27131156243024923,0.6624566638173559,NA,NA,NA,NA
United States,Stage_III_IVT1_2,0.29506393723428703,0.6814034258836538,0.16727252369211718,0.3920361936407924,0.03770958477678084,0.11946738292224565
United States,Stage_IVT3,0.07634455918305373,0.25660589370600473,0.020435124538610117,0.07172017731414199,0.021765627363738875,0.08677850617390201
United States,Stage_IVT4,0.08830635036877528,0.3041989301573705,0.019430307524761624,0.0568763933080471,0.03282896356346623,0.13459091040252213
United States,Stage_I_II,0.45802113991732796,1.0130933583838713,NA,NA,NA,NA
